name,abbreviation,rank,EWP,W,L,GP,PW,PL,Ahead/Behind,PW Season,PL Season,points,opp_points,Point Diff,assists,opp_assists,Assist Diff,blocks,opp_blocks,Block Diff,defensive_rebounds,opp_defensive_rebounds,Def Reb Diff,field_goal_attempts,opp_field_goal_attempts,FG Att Diff,field_goal_percentage,field_goals,opp_field_goals,FG Diff,free_throw_attempts,opp_free_throw_attempts,FT Att Diff,free_throw_percentage,free_throws,opp_free_throws,FT Diff,games_played,minutes_played,offensive_rebounds,opp_offensive_rebounds,Off Reb Diff,opp_field_goal_percentage,opp_free_throw_percentage,personal_fouls,opp_personal_fouls,Personal Foul Diff,steals,opp_steals,Steal Diff,three_point_field_goal_attempts,opp_three_point_field_goal_attempts,3pt Att Diff,opp_three_point_field_goal_percentage,three_point_field_goals,opp_three_point_field_goals,3pt FG Diff,total_rebounds,opp_total_rebounds,Rebound Diff,turnovers,opp_turnovers,Turnover Diff,two_point_field_goal_attempts,opp_two_point_field_goal_attempts,2pt FG Att Diff,two_point_field_goals,opp_two_point_field_goals,2pt FG Diff,opp_two_point_field_goal_percentage,three_point_field_goal_percentage,two_point_field_goal_percentage
Los Angeles Lakers,LAL,4,0.819171199169574,13.0,4.0,17.0,14.0,3.0,-1.0,67.0,15.0,1943,1773,170,428,408,20,109,76,33,641,561,80,1488,1525,-37,0.485,721,680,41,383,295,88,0.76,291,224,67,17,4080,168,149,19,0.446,0.759,311,355,-44,119,137,-18,534,562,-28,0.336,210,189,21,809,710,99,257,239,18,954,963,-9,511,491,20,0.51,0.393,0.536
Milwaukee Bucks,MIL,5,0.7849850220916698,10.0,6.0,16.0,13.0,3.0,-3.0,64.0,18.0,1921,1776,145,421,373,48,74,83,-9,590,532,58,1466,1447,19,0.49,719,658,61,329,307,22,0.733,241,236,5,16,3840,175,149,26,0.455,0.769,297,303,-6,136,105,31,613,583,30,0.384,242,224,18,765,681,84,231,225,6,853,864,-11,477,434,43,0.502,0.395,0.559
Los Angeles Clippers,LAC,2,0.7539268203445908,13.0,4.0,17.0,13.0,4.0,0.0,62.0,20.0,1951,1823,128,424,402,22,82,46,36,578,541,37,1448,1449,-1,0.485,702,676,26,346,335,11,0.841,291,258,33,17,4080,151,143,8,0.467,0.77,339,309,30,126,125,1,605,598,7,0.356,256,213,43,729,684,45,238,247,-9,843,851,-8,446,463,-17,0.544,0.423,0.529
Utah Jazz,UTA,10,0.7432755490599067,12.0,4.0,16.0,12.0,4.0,0.0,61.0,21.0,1811,1698,113,381,368,13,94,77,17,613,514,99,1411,1473,-62,0.468,660,650,10,313,290,23,0.712,223,219,4,16,3840,178,162,16,0.441,0.755,295,299,-4,92,126,-34,665,513,152,0.349,268,179,89,791,676,115,248,187,61,746,960,-214,392,471,-79,0.491,0.403,0.525
Denver Nuggets,DEN,7,0.6461949294288151,9.0,7.0,16.0,10.0,6.0,-1.0,53.0,29.0,1869,1802,67,436,426,10,66,70,-4,544,515,29,1458,1390,68,0.477,696,660,36,360,353,7,0.761,274,265,9,16,3965,183,151,32,0.475,0.751,329,360,-31,136,120,16,550,575,-25,0.377,203,217,-14,727,666,61,229,250,-21,908,815,93,493,443,50,0.544,0.369,0.543
Philadelphia 76ers,PHI,3,0.6448796075012063,12.0,5.0,17.0,11.0,6.0,1.0,53.0,29.0,1943,1874,69,417,437,-20,116,75,41,626,564,62,1476,1551,-75,0.478,705,682,23,433,389,44,0.771,334,293,41,17,4105,170,182,-12,0.44,0.753,348,368,-20,149,144,5,548,592,-44,0.367,199,217,-18,796,746,50,287,257,30,928,959,-31,506,465,41,0.485,0.363,0.545
Brooklyn Nets,BRK,1,0.6194614460386073,10.0,8.0,18.0,11.0,7.0,-1.0,51.0,31.0,2165,2102,63,477,456,21,110,69,41,666,607,59,1580,1713,-133,0.493,779,781,-2,420,402,18,0.814,342,313,29,18,4395,155,198,-43,0.456,0.779,353,367,-14,114,153,-39,660,632,28,0.359,265,227,38,821,805,16,286,235,51,920,1081,-161,514,554,-40,0.512,0.402,0.559
Atlanta Hawks,ATL,13,0.5848932298768885,8.0,8.0,16.0,9.0,7.0,-1.0,48.0,34.0,1799,1762,37,390,378,12,76,89,-13,592,555,37,1423,1461,-38,0.443,630,648,-18,421,347,74,0.805,339,281,58,16,3865,187,173,14,0.444,0.81,320,330,-10,112,133,-21,573,571,2,0.324,200,185,15,779,728,51,238,212,26,850,890,-40,430,463,-33,0.52,0.349,0.506
Boston Celtics,BOS,21,0.5806813688370935,9.0,6.0,15.0,9.0,6.0,0.0,48.0,34.0,1689,1656,33,343,334,9,85,81,4,503,486,17,1332,1282,50,0.474,631,595,36,323,376,-53,0.752,243,295,-52,15,3600,169,144,25,0.464,0.785,327,307,20,135,125,10,490,475,15,0.36,184,171,13,672,630,42,231,226,5,842,807,35,447,424,23,0.525,0.376,0.531
Phoenix Suns,PHO,23,0.576864562285044,8.0,7.0,15.0,9.0,6.0,-1.0,47.0,35.0,1666,1635,31,396,339,57,73,50,23,529,535,-6,1318,1301,17,0.465,613,601,12,281,362,-81,0.822,231,271,-40,15,3700,121,141,-20,0.462,0.749,328,288,40,90,107,-17,584,450,134,0.36,209,162,47,650,676,-26,200,204,-4,734,851,-117,404,439,-35,0.516,0.358,0.55
Toronto Raptors,TOR,16,0.5726188619759391,7.0,9.0,16.0,9.0,7.0,-2.0,47.0,35.0,1764,1733,31,393,417,-24,94,97,-3,534,566,-32,1418,1359,59,0.44,624,609,15,325,383,-58,0.797,259,302,-43,16,3840,161,155,6,0.448,0.789,349,300,49,142,116,26,684,589,95,0.362,257,213,44,695,721,-26,243,273,-30,734,770,-36,367,396,-29,0.514,0.376,0.5
Indiana Pacers,IND,11,0.5596650989662099,9.0,7.0,16.0,9.0,7.0,0.0,46.0,36.0,1802,1776,26,419,395,24,86,94,-8,542,566,-24,1442,1404,38,0.473,682,653,29,322,355,-33,0.758,244,267,-23,16,3890,137,156,-19,0.465,0.752,337,301,36,153,115,38,548,511,37,0.397,194,203,-9,679,722,-43,218,249,-31,894,893,1,488,450,38,0.504,0.354,0.546
