name,abbreviation,rank,EWP,W,L,GP,PW,PL,Ahead/Behind,PW Season,PL Season,points,opp_points,Point Diff,assists,opp_assists,Assist Diff,blocks,opp_blocks,Block Diff,defensive_rebounds,opp_defensive_rebounds,Def Reb Diff,field_goal_attempts,opp_field_goal_attempts,FG Att Diff,field_goal_percentage,field_goals,opp_field_goals,FG Diff,free_throw_attempts,opp_free_throw_attempts,FT Att Diff,free_throw_percentage,free_throws,opp_free_throws,FT Diff,games_played,minutes_played,offensive_rebounds,opp_offensive_rebounds,Off Reb Diff,opp_field_goal_percentage,opp_free_throw_percentage,personal_fouls,opp_personal_fouls,Personal Foul Diff,steals,opp_steals,Steal Diff,three_point_field_goal_attempts,opp_three_point_field_goal_attempts,3pt Att Diff,opp_three_point_field_goal_percentage,three_point_field_goals,opp_three_point_field_goals,3pt FG Diff,total_rebounds,opp_total_rebounds,Rebound Diff,turnovers,opp_turnovers,Turnover Diff,two_point_field_goal_attempts,opp_two_point_field_goal_attempts,2pt FG Att Diff,two_point_field_goals,opp_two_point_field_goals,2pt FG Diff,opp_two_point_field_goal_percentage,three_point_field_goal_percentage,two_point_field_goal_percentage
Portland Trail Blazers,POR,15,0.46887447402104193,9.0,6.0,15.0,7.0,8.0,2.0,38.0,44.0,1846,1860,-14,340,408,-68,81,79,2,546,600,-54,1470,1407,63,0.442,650,664,-14,360,404,-44,0.814,293,318,-25,16,3865,156,154,2,0.472,0.787,325,318,7,128,100,28,680,578,102,0.37,253,214,39,702,754,-52,185,217,-32,790,829,-39,397,450,-53,0.543,0.372,0.503
Charlotte Hornets,CHO,17,0.44212946490099925,7.0,9.0,16.0,7.0,9.0,0.0,36.0,46.0,1832,1858,-26,474,482,-8,89,91,-2,571,604,-33,1490,1498,-8,0.449,669,679,-10,382,350,32,0.728,278,254,24,17,4080,186,194,-8,0.453,0.726,316,332,-16,151,142,9,607,684,-77,0.36,216,246,-30,757,798,-41,261,274,-13,883,814,69,453,433,20,0.532,0.356,0.513
New York Knicks,NYK,16,0.43567743419430077,8.0,10.0,18.0,8.0,10.0,0.0,36.0,46.0,1835,1864,-29,386,403,-17,92,117,-25,658,630,28,1535,1559,-24,0.442,679,673,6,407,410,-3,0.757,308,304,4,18,4320,199,191,8,0.432,0.741,377,360,17,121,120,1,486,682,-196,0.314,169,214,-45,857,821,36,256,216,40,1049,877,172,510,459,51,0.523,0.348,0.486
Golden State Warriors,GSW,9,0.4237342801497084,8.0,8.0,16.0,7.0,9.0,1.0,35.0,47.0,1914,1950,-36,443,391,52,99,91,8,601,646,-45,1519,1525,-6,0.448,680,678,2,428,484,-56,0.771,330,375,-45,17,4080,141,198,-57,0.445,0.775,396,378,18,128,124,4,636,596,40,0.367,224,219,5,742,844,-102,244,268,-24,883,929,-46,456,459,-3,0.494,0.352,0.516
Washington Wizards,WAS,29,0.4177084545658097,3.0,9.0,12.0,5.0,7.0,-2.0,34.0,48.0,1426,1455,-29,323,302,21,43,53,-10,409,453,-44,1103,1058,45,0.473,522,520,2,307,336,-29,0.733,225,266,-41,12,2880,112,99,13,0.491,0.792,285,259,26,85,92,-7,410,386,24,0.386,157,149,8,521,552,-31,163,183,-20,693,672,21,365,371,-6,0.552,0.383,0.527
Chicago Bulls,CHI,5,0.397560743324646,7.0,9.0,16.0,6.0,10.0,1.0,33.0,49.0,1960,2010,-50,435,426,9,69,66,3,606,578,28,1503,1514,-11,0.474,713,726,-13,378,434,-56,0.791,299,329,-30,17,4105,150,148,2,0.48,0.758,368,359,9,134,156,-22,613,612,1,0.374,235,229,6,756,726,30,307,261,46,890,902,-12,478,497,-19,0.551,0.383,0.537
New Orleans Pelicans,NOP,28,0.37970990013493333,5.0,10.0,15.0,6.0,9.0,-1.0,31.0,51.0,1623,1672,-49,339,401,-62,54,83,-29,532,495,37,1296,1297,-1,0.466,604,592,12,370,308,62,0.719,266,249,17,15,3625,168,126,42,0.456,0.808,269,324,-55,111,123,-12,449,628,-179,0.381,149,239,-90,700,621,79,242,210,32,847,669,178,455,353,102,0.528,0.332,0.537
Detroit Pistons,DET,14,0.37408942616510027,3.0,13.0,16.0,6.0,10.0,-3.0,31.0,51.0,1862,1921,-59,405,421,-16,84,111,-27,559,619,-60,1527,1462,65,0.428,654,701,-47,415,401,14,0.783,325,294,31,17,4180,184,173,11,0.479,0.733,364,375,-11,138,126,12,635,591,44,0.381,229,225,4,743,792,-49,249,279,-30,892,871,21,425,476,-51,0.546,0.361,0.476
Miami Heat,MIA,23,0.3394144929608494,6.0,9.0,15.0,5.0,10.0,1.0,28.0,54.0,1724,1795,-71,414,408,6,62,64,-2,555,532,23,1309,1412,-103,0.474,621,641,-20,356,344,12,0.778,277,266,11,16,3865,104,161,-57,0.454,0.773,330,348,-18,104,149,-45,588,654,-66,0.378,205,247,-42,659,693,-34,279,244,35,721,758,-37,416,394,22,0.52,0.349,0.577
Orlando Magic,ORL,10,0.3323608532360372,7.0,10.0,17.0,6.0,11.0,1.0,27.0,55.0,1899,1981,-82,404,440,-36,65,103,-38,628,657,-29,1641,1578,63,0.432,709,746,-37,362,355,7,0.771,279,263,16,18,4345,211,155,56,0.473,0.741,318,339,-21,132,135,-3,581,620,-39,0.365,202,226,-24,839,812,27,244,253,-9,1060,958,102,507,520,-13,0.543,0.348,0.478
Cleveland Cavaliers,CLE,22,0.32781209704252184,8.0,8.0,16.0,5.0,11.0,3.0,27.0,55.0,1776,1855,-79,406,422,-16,83,105,-22,550,585,-35,1492,1471,21,0.451,673,686,-13,370,338,32,0.7,259,257,2,17,4180,198,183,15,0.466,0.76,332,336,-4,166,156,10,480,582,-102,0.388,171,226,-55,748,768,-20,277,298,-21,1012,889,123,502,460,42,0.517,0.356,0.496
Oklahoma City Thunder,OKC,25,0.2626630912035227,6.0,9.0,15.0,4.0,11.0,2.0,22.0,60.0,1704,1814,-110,360,394,-34,73,64,9,584,624,-40,1396,1485,-89,0.451,630,687,-57,336,323,13,0.705,237,245,-8,16,3865,120,169,-49,0.463,0.759,304,308,-4,108,125,-17,626,561,65,0.348,207,195,12,704,793,-89,228,198,30,770,924,-154,423,492,-69,0.532,0.331,0.549
Sacramento Kings,SAC,21,0.2250399650537331,6.0,10.0,16.0,4.0,12.0,2.0,18.0,64.0,1799,1939,-140,398,429,-31,91,85,6,531,567,-36,1408,1460,-52,0.469,661,721,-60,402,332,70,0.719,289,267,22,16,3865,156,155,1,0.494,0.804,323,333,-10,103,126,-23,504,577,-73,0.399,188,230,-42,687,722,-35,219,210,9,904,883,21,473,491,-18,0.556,0.373,0.523
Minnesota Timberwolves,MIN,24,0.1961078693997907,4.0,11.0,15.0,3.0,12.0,1.0,16.0,66.0,1714,1867,-153,388,421,-33,90,100,-10,531,575,-44,1459,1446,13,0.436,636,687,-51,342,386,-44,0.763,261,296,-35,16,3865,185,169,16,0.475,0.767,339,312,27,139,126,13,540,523,17,0.377,181,197,-16,716,744,-28,240,242,-2,919,923,-4,455,490,-35,0.531,0.335,0.495
